[13:15:39:12] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:39:30] | ESP_GATTS_DEMO | 4827E2827F72 | -75
[13:15:39:36] | ESP_GATTS_DEMO | 4827E2827F72 | -75
[13:15:39:40] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:15:39:44] | ESP_GATTS_DEMO | 4827E2827F72 | -65
[13:15:39:49] | ESP_GATTS_DEMO | 4827E2827F72 | -66
[13:15:39:60] | ESP_GATTS_DEMO | 4827E2827F72 | -70
[13:15:39:62] | ESP_GATTS_DEMO | 4827E2827F72 | -74
[13:15:39:66] | ESP_GATTS_DEMO | 4827E2827F72 | -74
[13:15:39:71] | ESP_GATTS_DEMO | 4827E2827F72 | -74
[13:15:39:80] | ESP_GATTS_DEMO | 4827E2827F72 | -65
[13:15:39:84] | ESP_GATTS_DEMO | 4827E2827F72 | -66
[13:15:39:89] | ESP_GATTS_DEMO | 4827E2827F72 | -66
[13:15:40:00] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:40:03] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:40:06] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:40:30] | ESP_GATTS_DEMO | 4827E2827F72 | -80
[13:15:40:35] | ESP_GATTS_DEMO | 4827E2827F72 | -66
[13:15:40:44] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:40:49] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:40:53] | ESP_GATTS_DEMO | 4827E2827F72 | -75
[13:15:40:60] | ESP_GATTS_DEMO | 4827E2827F72 | -75
[13:15:40:63] | ESP_GATTS_DEMO | 4827E2827F72 | -65
[13:15:40:68] | ESP_GATTS_DEMO | 4827E2827F72 | -65
[13:15:40:72] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:40:82] | ESP_GATTS_DEMO | 4827E2827F72 | -75
[13:15:40:85] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:15:40:89] | ESP_GATTS_DEMO | 4827E2827F72 | -77
[13:15:40:94] | ESP_GATTS_DEMO | 4827E2827F72 | -65
[13:15:41:01] | ESP_GATTS_DEMO | 4827E2827F72 | -66
[13:15:41:04] | ESP_GATTS_DEMO | 4827E2827F72 | -69
[13:15:41:17] | ESP_GATTS_DEMO | 4827E2827F72 | -74
[13:15:41:21] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:41:26] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:41:31] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:41:44] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:15:41:49] | ESP_GATTS_DEMO | 4827E2827F72 | -77
[13:15:41:54] | ESP_GATTS_DEMO | 4827E2827F72 | -70
[13:15:41:64] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:41:67] | ESP_GATTS_DEMO | 4827E2827F72 | -70
[13:15:41:71] | ESP_GATTS_DEMO | 4827E2827F72 | -83
[13:15:41:76] | ESP_GATTS_DEMO | 4827E2827F72 | -80
[13:15:41:82] | ESP_GATTS_DEMO | 4827E2827F72 | -80
[13:15:41:95] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:42:01] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:42:04] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:42:09] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:42:13] | ESP_GATTS_DEMO | 4827E2827F72 | -69
[13:15:42:18] | ESP_GATTS_DEMO | 4827E2827F72 | -69
[13:15:42:22] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:42:27] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:42:32] | ESP_GATTS_DEMO | 4827E2827F72 | -80
[13:15:42:36] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:42:42] | ESP_GATTS_DEMO | 4827E2827F72 | -79
[13:15:42:45] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:42:50] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:42:55] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:42:62] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:42:64] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:42:71] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:42:83] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:42:85] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:42:89] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:43:11] | ESP_GATTS_DEMO | 4827E2827F72 | -70
[13:15:43:23] | ESP_GATTS_DEMO | 4827E2827F72 | -69
[13:15:43:25] | ESP_GATTS_DEMO | 4827E2827F72 | -77
[13:15:43:29] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:43:39] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:43:43] | ESP_GATTS_DEMO | 4827E2827F72 | -70
[13:15:43:48] | ESP_GATTS_DEMO | 4827E2827F72 | -70
[13:15:43:53] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:43:63] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:43:66] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:43:75] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:43:79] | ESP_GATTS_DEMO | 4827E2827F72 | -70
[13:15:43:84] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:15:43:98] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:44:04] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:44:11] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:44:16] | ESP_GATTS_DEMO | 4827E2827F72 | -79
[13:15:44:23] | ESP_GATTS_DEMO | 4827E2827F72 | -79
[13:15:44:26] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:44:30] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:44:34] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:44:39] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:44:48] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:44:63] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:44:67] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:44:71] | ESP_GATTS_DEMO | 4827E2827F72 | -77
[13:15:44:75] | ESP_GATTS_DEMO | 4827E2827F72 | -77
[13:15:44:86] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:44:90] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:44:94] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:45:08] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:45:14] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:45:40] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:45:45] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:45:50] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:45:54] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:45:59] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:45:65] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:45:73] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:45:81] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:45:87] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:45:90] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:45:95] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:46:09] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:46:27] | ESP_GATTS_DEMO | 4827E2827F72 | -77
[13:15:46:36] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:46:41] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:46:47] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:46:49] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:46:54] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:15:46:59] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:15:46:68] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:46:73] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:46:77] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:46:82] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:15:46:88] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:15:47:00] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:47:10] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:47:13] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:15:47:18] | ESP_GATTS_DEMO | 4827E2827F72 | -77
[13:15:47:23] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:47:29] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:47:37] | ESP_GATTS_DEMO | 4827E2827F72 | -73
[13:15:47:42] | ESP_GATTS_DEMO | 4827E2827F72 | -77
[13:15:47:50] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:47:55] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:47:61] | ESP_GATTS_DEMO | 4827E2827F72 | -69
[13:15:47:68] | ESP_GATTS_DEMO | 4827E2827F72 | -73
[13:15:47:83] | ESP_GATTS_DEMO | 4827E2827F72 | -69
[13:15:47:88] | ESP_GATTS_DEMO | 4827E2827F72 | -69
[13:15:47:92] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:47:96] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:48:10] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:48:15] | ESP_GATTS_DEMO | 4827E2827F72 | -69
[13:15:48:20] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:48:34] | ESP_GATTS_DEMO | 4827E2827F72 | -79
[13:15:48:38] | ESP_GATTS_DEMO | 4827E2827F72 | -79
[13:15:48:51] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:48:56] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:48:69] | ESP_GATTS_DEMO | 4827E2827F72 | -80
[13:15:48:70] | ESP_GATTS_DEMO | 4827E2827F72 | -81
[13:15:48:74] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:48:79] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:48:83] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:48:89] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:48:97] | ESP_GATTS_DEMO | 4827E2827F72 | -80
[13:15:49:01] | ESP_GATTS_DEMO | 4827E2827F72 | -80
[13:15:49:10] | ESP_GATTS_DEMO | 4827E2827F72 | -69
[13:15:49:31] | ESP_GATTS_DEMO | 4827E2827F72 | -77
[13:15:49:38] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:49:43] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:49:60] | ESP_GATTS_DEMO | 4827E2827F72 | -80
[13:15:49:65] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:49:72] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:49:73] | ESP_GATTS_DEMO | 4827E2827F72 | -73
[13:15:49:78] | ESP_GATTS_DEMO | 4827E2827F72 | -73
[13:15:49:83] | ESP_GATTS_DEMO | 4827E2827F72 | -79
[13:15:49:91] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:49:96] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:50:00] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:50:10] | ESP_GATTS_DEMO | 4827E2827F72 | -74
[13:15:50:14] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:50:30] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:50:33] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:50:41] | ESP_GATTS_DEMO | 4827E2827F72 | -79
[13:15:50:46] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:50:51] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:50:55] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:50:59] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:50:65] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:50:73] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:50:82] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:50:96] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:51:04] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:51:11] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:51:13] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:51:18] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:51:23] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:51:31] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:51:36] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:51:41] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:15:51:45] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:51:52] | ESP_GATTS_DEMO | 4827E2827F72 | -67
[13:15:51:54] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:51:60] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:51:77] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:51:81] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:51:86] | ESP_GATTS_DEMO | 4827E2827F72 | -72
[13:15:51:92] | ESP_GATTS_DEMO | 4827E2827F72 | -71
[13:15:51:94] | ESP_GATTS_DEMO | 4827E2827F72 | -79
[13:15:52:04] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:52:11] | ESP_GATTS_DEMO | 4827E2827F72 | -68
[13:15:52:17] | ESP_GATTS_DEMO | 4827E2827F72 | -72
